oliveira do bairro;9437218
oliveirinha-cabanas;9446524
oriente;9431039
oronhe;9442176
outeiro;9462612
ovar;9438299
paco de arcos;9469146
pacos de brandao;9444107
paialvo;9434157
pala;9409100
palmela;9468098
palmilheira / aguas santas;9403053
pampilhosa;9437002
papizios;9446441
parada;9408201
paraimo-sangalhos;9437184
paramos;9438414
parede;9469203
paredes;9408276
parque das cidades;9478295
pataias;9463354
paul;9462745
pedra furada;9462133
pego;9446060
pegoes;9471126
pelariga;9434702
penafiel;9408318
penteado;9495125
pereira;9435055
pereirinhas;9428217
pero negro;9462315
pinhal novo;9468007
pinhao;9410249
pinheiro da bemposta;9444446
poceirao;9471001
pocinho;9412005
poco barreto;9490134
pombal;9434645
porta nova;9473338
portela;9404101
portela de sintra;9461093
portimao;9490290
porto - campanha;9402006
porto - sao bento;9401008
porto de rei;9409282
povoa;9431146
praca do quebedo;9468130
pragal;9417087
praia do ribatejo;9451128
praias sado-a;9491009
queluz-belas;9460103
quintans;9437358
ramalhal;9462547
reboleira;9460095
recarei-sobreira;9408177
recesinhos;9408441
rede;9409357
regua;9410009
reguengo-v.pedra-pontevel;9433084
retaxo;9452845
reveles;9465128
riachos-t.novas-golega;9432466
ribeira de seica;9463925
rio de mouro;9461044
rio meao;9444115
rio tinto;9403038
rochoso;9449163
rodao;9452647
roma - areeiro;9466035
rossio;9459006
ruilhe;9429074
runa;9462422
sabugo;9462091
sacavem;9431062
salir do porto;9463107
salreu;9438125
sampaio-oleiros;9444073
sanfins;9444198
santa apolonia;9430007
santa cita;9440105
santa clara-saboia;9477388
santa comba dao;9446367
santa iria;9431112
santa margarida;9451185
santana-cartaxo;9432045
santarem;9432185
santiago de riba-ul;9444313
santo amaro;9469161
santo tirso;9428068
santos;9469013
sao frutuoso;9404051
sao joao da madeira;9444255
sao joao das craveiras;9471159
sao joao de ver;9444156
sao joao do estoril;9469237
sao joao loure;9442093
sao mamede;9462786
sao martinho do campo;9408102
sao martinho do porto;9463131
sao pedro da torre;9418440
sao pedro do estoril;9469229
